#AÑO,CODFUNCION,CODECOPART,NOMPARTIDA,Inicial,Actual,O
2018.0,011,31900,OTROS GASTOS FINANCIEROS,6000.0,6000.0,1924.02
2018.0,130,12001,RETRIBUCIONES BASICAS POLICIA-A2,32974.74,32974.74,10563.68
2018.0,130,12003,RETRIBUCIONES BASICAS POLICIA-C1,488415.43,488415.43,263815.26
2018.0,130,12004,RETRIBUCIONES BASICAS POLICIA-C2,0.0,0.0,7111.2
2018.0,130,12100,COMPLEMENTO DESTINO POLICIA,305985.59,305985.59,112940.47
2018.0,130,12101,COMPLEMENTO ESPECIFICO POLICIA,572766.98,572766.98,208249.38
2018.0,130,15000,PRODUCTIVIDAD FUNCIONARIOS POLICIA,52505.35,52505.35,7078.18
2018.0,130,15002,SERVICIOS DE REFUERZO POLICIA LOCAL,29568.0,29568.0,12936.0
2018.0,130,15100,GRATIFICACIONES POLICIA LOCAL,2000.0,2000.0,10513.85
2018.0,130,15101,ASISTENCIAS A JUICIOS,2000.0,2000.0,2139.34
2018.0,130,16000,SEGURIDAD SOCIAL FUNCIONARIOS POLICIA,383790.2,383790.2,0.0
2018.0,130,16200,FORMACION CONTINUA AGENTES POLICIA LOCAL,3000.0,3000.0,0.0
2018.0,130,20300,MTO.  EQUIPOS TRANSMISIONES P.LOCAL,2600.0,2600.0,1102.42
2018.0,130,21200,MANT.  EDIFICIO Y CONSTRUCC. POLICIA,100.0,100.0,3079.29
2018.0,130,21400,MTO. VEHICULOS POLICIA,10000.0,10000.0,5214.24
2018.0,130,21600,MTO. Y ACTUALIZAC. PROGRAMAS INFORMATICOS  P.L.,500.0,500.0,0.0
2018.0,130,22000,MATERIAL OFICINA POLICIA,600.0,600.0,636.44
2018.0,130,22100,ENERGIA ELECTRICA EDIFICIOS POLICIA Y PROT.CIVIL,12100.0,12100.0,4879.26
2018.0,130,22103,COMBUSTIBLE VEHICULOS POLICIA LOCAL,22000.0,22000.0,6022.72
2018.0,130,22104,VESTUARIO POLICIA,5000.0,5000.0,0.0
