#AÑO,CODECOCONC,NOMCONCEPT,Inicial,Modifica,Actual,DRNeto
2018.0,11200,I.B.I RUSTICA,1087000.0,0.0,1087000.0,1215184.76
2018.0,11209,IBI RUSTICA FRACCIONAMIENTOS,0.0,0.0,0.0,1942.25
2018.0,11300,IBI URBANO,6066487.0,0.0,6066487.0,6461322.08
2018.0,11309,IBI URBANA FRACCIONAMIENTOS,0.0,0.0,0.0,22217.49
2018.0,11400,I.B.I. DE CARACTERISTICAS ESPECIALES,28000.0,0.0,28000.0,29198.43
2018.0,11500,IMPUESTO SOBRE VEHICULOS TRACCION MECANICA,978000.0,0.0,978000.0,992912.7
2018.0,11509,IVTM FRACCIONAMIENTOS,0.0,0.0,0.0,6417.63
2018.0,11600,IMPUESTO INCREMENTO VALOR TERRENOS NATURALEZA URBA,640000.0,0.0,640000.0,-1925042.59
2018.0,11609,IIVTNU FRACCIONAMIENTOS,0.0,0.0,0.0,6886.78
2018.0,13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,547000.0,0.0,547000.0,50471.49
2018.0,13009,IAE FRACCIONAMIENTOS,0.0,0.0,0.0,3191.88
2018.0,29000,I.C.I.O,1370000.0,0.0,1370000.0,387334.3
2018.0,29009,ICIO FRACCIONAMIENTOS,0.0,0.0,0.0,13102.87
2018.0,30000,ABASTECIMIENTO AGUA,2380000.0,0.0,2380000.0,1786124.37
2018.0,30200,RECOGIDA BASURAS,791000.0,0.0,791000.0,402123.08
2018.0,30209,RESIDUOS FRACCIONAMIENTOS,0.0,0.0,0.0,5234.55
2018.0,32100,LIC. UBANISTICAS,93000.0,0.0,93000.0,62234.08
2018.0,32109,TASA LIC.OBRAS FRACCIONAMIENTOS,0.0,0.0,0.0,50.0
2018.0,32300,OTROS SERVICIOS URB. LICENCIAS DE ACTIVIDAD,14000.0,0.0,14000.0,6470.39
2018.0,32309,LIC.APERTURA FRACCIONAMIENTOS,0.0,0.0,0.0,10.22
2018.0,32500,TASA EXPEDICION DOCUMENTOS,34000.0,0.0,34000.0,17314.86
2018.0,32509,EXPED.DOC. FVA,0.0,0.0,0.0,109.0
2018.0,32600,TASA RETIRADA VEHICULOS,14000.0,0.0,14000.0,10426.25
2018.0,33100,VADO VEHICULOS,73000.0,0.0,73000.0,1845.21
2018.0,33200,"OCUP.VIA MERCADO,",68000.0,0.0,68000.0,33961.93
2018.0,33201,TASA QUIOSCOS Y PUESTOS,1000.0,0.0,1000.0,6904.75
2018.0,33203,PLAZA ABASTOS,17000.0,0.0,17000.0,8458.8
2018.0,33209,OCUP.SUELO VUELO FRACCIONAMIENTOS,0.0,0.0,0.0,1170.75
2018.0,33210,QUIOSCOS Y PUESTOS FVA,0.0,0.0,0.0,252.68
2018.0,33301,EMPRESA DISTRIBUIDORA SERVICIOS(IBERDR. Y GAS),608000.0,0.0,608000.0,345957.18
2018.0,33400,TASA APERTURA ZANJAS Y ESCOMBROS,16000.0,0.0,16000.0,2980.18
2018.0,33500,MESAS Y SILLAS,11000.0,0.0,11000.0,14206.89
2018.0,33509,MESAS SILLAS FVA,0.0,0.0,0.0,158.76
2018.0,33600,PUESTOS DE LA FERIA Y OTROS,17000.0,0.0,17000.0,0.0
2018.0,33800,COMPENSACION TELEFONICA ESPAÑA S.A.,54000.0,0.0,54000.0,52388.28
2018.0,33900,TASA PLACA VADOS,1000.0,0.0,1000.0,481.0
2018.0,34000,AYUDA A DOMICILIO (SAD),35000.0,0.0,35000.0,516.0
2018.0,34001,AYUDA A DOMICILIO PERSONAS DEPEND. (SAAD),0.0,0.0,0.0,14960.05
