#IDCONCEPTO,ANYPPTO,INDESREM,CODORGANIC,CODFUNCION,CODECOCONC,CLAVEESPEC,NOMCONCEPT,Inicial,Modifica,Actual,DRAnul,DRCanc,DROtrasAnul,DRNeto,DR,OI,I,DevI,INeto,Saldo,Deudores,% DR s/ Prev,% I Neto s/ DR
3522.0,2018.0,,,,11200,,I.B.I RUSTICA,1087000.0,0.0,1087000.0,55185.47,0.0,55185.47,1292304.26,1347489.73,0.0,1183908.41,3394.13,1180514.28,-205304.26,111789.98,118.887236431,91.3495619058
3586.0,2018.0,,,,11209,,IBI RUSTICA FRACCIONAMIENTOS,0.0,0.0,0.0,583.5,0.0,583.5,7140.35,7723.85,0.0,1779.16,0.0,1779.16,-7140.35,5361.19,0.0,24.916985862
3514.0,2018.0,,,,11300,,IBI URBANO,6066487.0,0.0,6066487.0,636369.0,0.0,636369.0,6892923.22,7529292.22,0.0,5122162.02,61489.32,5060672.7,-826436.22,1832250.52,113.622978505,73.4183819909
3587.0,2018.0,,,,11309,,IBI URBANA FRACCIONAMIENTOS,0.0,0.0,0.0,10064.55,0.0,10064.55,34995.66,45060.21,0.0,14591.81,0.0,14591.81,-34995.66,20403.85,0.0,41.6960560252
3515.0,2018.0,,,,11400,,I.B.I. DE CARACTERISTICAS ESPECIALES,28000.0,0.0,28000.0,357.27,0.0,357.27,28841.16,29198.43,0.0,27005.32,0.0,27005.32,-841.16,1835.84,103.004142857,93.6346526977
3524.0,2018.0,,,,11500,,IMPUESTO SOBRE VEHICULOS TRACCION MECANICA,978000.0,0.0,978000.0,34358.91,0.0,34358.91,994553.81,1028912.72,0.0,863951.64,7771.18,856180.46,-16553.81,138373.35,101.692618609,86.086891568
3589.0,2018.0,,,,11509,,IVTM FRACCIONAMIENTOS,0.0,0.0,0.0,2251.21,0.0,2251.21,9846.63,12097.84,0.0,4589.43,0.0,4589.43,-9846.63,5257.2,0.0,46.6091444484
3525.0,2018.0,,,,11600,,IMPUESTO INCREMENTO VALOR TERRENOS NATURALEZA URBA,640000.0,0.0,640000.0,2373865.4,0.0,2373865.4,-978998.28,1394867.12,0.0,1207366.22,2353474.02,-1146107.8,1618998.28,167109.52,-152.96848125,117.069439591
3590.0,2018.0,,,,11609,,IIVTNU FRACCIONAMIENTOS,0.0,0.0,0.0,786.14,0.0,786.14,15854.77,16640.91,0.0,4788.04,0.0,4788.04,-15854.77,11066.73,0.0,30.1993658691
3516.0,2018.0,,,,13000,,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,547000.0,0.0,547000.0,25375.82,0.0,25375.82,592351.03,617726.85,0.0,564139.22,587.83,563551.39,-45351.03,28799.64,108.290864717,95.1380788517
