#IDCONCEPTO,ANYPPTO,INDESREM,CODORGANIC,CODFUNCION,CODECOCONC,CLAVEESPEC,NOMCONCEPT,Inicial,Modifica,Actual,DRAnul,DRCanc,DROtrasAnul,DRNeto,DR,OI,I,DevI,INeto,Saldo,Deudores,% DR s/ Prev,% I Neto s/ DR
5081.0,2020.0,,,,11200,,I.B.I RUSTICA,1400044.37,0.0,1400044.37,1684.87,0.0,1684.87,1481959.44,1483644.31,0.0,5431.87,1684.87,3747.0,-81915.07,1478212.44,105.850890997,0.252840927954
5146.0,2020.0,,,,11209,,IBI RUSTICA FRACCIONAMIENTOS,8227.13,0.0,8227.13,827.71,0.0,827.71,8602.12,9429.83,0.0,1574.85,0.0,1574.85,-374.99,7027.27,104.557968575,18.3076962423
5073.0,2020.0,,,,11300,,IBI URBANO,6815752.29,0.0,6815752.29,21406.01,0.0,21406.01,7369020.24,7390426.25,0.0,21717.75,15269.38,6448.37,-553267.95,7362571.87,108.117489111,0.0875064769804
5147.0,2020.0,,,,11309,,IBI URBANA FRACCIONAMIENTOS,112909.14,0.0,112909.14,3920.58,0.0,3920.58,22142.89,26063.47,0.0,2910.45,0.0,2910.45,90766.25,19232.44,19.6112467069,13.143948238
5074.0,2020.0,,,,11400,,I.B.I. DE CARACTERISTICAS ESPECIALES,25421.37,0.0,25421.37,0.0,0.0,0.0,28789.5,28789.5,0.0,27.55,0.0,27.55,-3368.13,28761.95,113.249207261,0.0956946108824
5083.0,2020.0,,,,11500,,IMPUESTO SOBRE VEHICULOS TRACCION MECANICA,1020314.8,0.0,1020314.8,1954.91,0.0,1954.91,1121977.01,1123931.92,0.0,134576.23,492.69,134083.54,-101662.21,987893.47,109.963808229,11.9506495057
5149.0,2020.0,,,,11509,,IVTM FRACCIONAMIENTOS,5039.11,0.0,5039.11,454.99,0.0,454.99,4221.31,4676.3,0.0,448.62,0.0,448.62,817.8,3772.69,83.7709436785,10.6275066271
5084.0,2020.0,,,,11600,,IMPUESTO INCREMENTO VALOR TERRENOS NATURALEZA URBA,496699.47,0.0,496699.47,70214.96,0.0,70214.96,249419.74,319634.7,0.0,191433.66,68855.57,122578.09,247279.73,126841.65,50.2154230203,49.1453042169
5150.0,2020.0,,,,11609,,IIVTNU FRACCIONAMIENTOS,11209.4,0.0,11209.4,0.0,0.0,0.0,1260.77,1260.77,0.0,184.32,0.0,184.32,9948.63,1076.45,11.2474351883,14.6196372058
5075.0,2020.0,,,,13000,,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,665626.3,0.0,665626.3,1704.7,0.0,1704.7,147003.16,148707.86,0.0,144524.48,1704.7,142819.78,518623.14,4183.38,22.084938651,97.1542244398
5151.0,2020.0,,,,13009,,IAE FRACCIONAMIENTOS,798.21,0.0,798.21,0.0,0.0,0.0,2449.24,2449.24,0.0,476.54,0.0,476.54,-1651.03,1972.7,306.841557986,19.4566477765
5085.0,2020.0,,,,29000,,I.C.I.O,1043518.09,0.0,1043518.09,0.0,0.0,0.0,167357.51,167357.51,0.0,132754.5,0.0,132754.5,876160.58,34603.01,16.0378158849,79.3238976847
5152.0,2020.0,,,,29009,,ICIO FRACCIONAMIENTOS,325.8,0.0,325.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.8,0.0,0.0,0.0
5087.0,2020.0,,,,30200,,RECOGIDA BASURAS,799945.12,0.0,799945.12,4158.28,0.0,4158.28,420045.32,424203.6,0.0,11101.42,3536.73,7564.69,379899.8,412480.63,52.5092671357,1.80092233857
5153.0,2020.0,,,,30209,,RESIDUOS FRACCIONAMIENTOS,6061.9,0.0,6061.9,706.17,0.0,706.17,4764.2,5470.37,0.0,467.72,0.0,467.72,1297.7,4296.48,78.5925204969,9.81738801897
5082.0,2020.0,,,,32100,,LIC. UBANISTICAS,121374.16,0.0,121374.16,2415.0,0.0,2415.0,25718.45,28133.45,0.0,21396.91,2415.0,18981.91,95655.71,6736.54,21.1893948432,73.8065863223
5154.0,2020.0,,,,32109,,TASA LIC.OBRAS FRACCIONAMIENTOS,481.52,0.0,481.52,50.0,0.0,50.0,50.0,100.0,0.0,0.0,0.0,0.0,431.52,50.0,10.3837846818,0.0
5088.0,2020.0,,,,32300,,OTROS SERVICIOS URB. LICENCIAS DE ACTIVIDAD,10947.22,0.0,10947.22,0.0,0.0,0.0,2593.95,2593.95,0.0,2311.2,0.0,2311.2,8353.27,282.75,23.6950568272,89.0996356907
5155.0,2020.0,,,,32309,,LIC.APERTURA FRACCIONAMIENTOS,70.96,0.0,70.96,135.1,0.0,135.1,162.49,297.59,0.0,0.0,0.0,0.0,-91.53,162.49,228.988162345,0.0
5089.0,2020.0,,,,32500,,TASA EXPEDICION DOCUMENTOS,42635.21,0.0,42635.21,169.56,0.0,169.56,11712.54,11882.1,0.0,10958.6,169.56,10789.04,30922.67,923.5,27.4715194319,92.1152884003
5185.0,2020.0,,,,32509,,EXPED.DOC. FVA,27.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0
5090.0,2020.0,,,,32600,,TASA RETIRADA VEHICULOS,28757.73,0.0,28757.73,0.0,0.0,0.0,5988.5,5988.5,0.0,5957.9,0.0,5957.9,22769.23,30.6,20.8239662866,99.4890206229
5091.0,2020.0,,,,33100,,VADO VEHICULOS,74250.65,0.0,74250.65,0.0,0.0,0.0,1272.5,1272.5,0.0,1038.52,0.0,1038.52,72978.15,233.98,1.71378971093,81.6125736739
5158.0,2020.0,,,,33109,,VADOS FVA,80.23,0.0,80.23,0.0,0.0,0.0,72.7,72.7,0.0,59.47,0.0,59.47,7.53,13.23,90.6144833603,81.8019257221
5092.0,2020.0,,,,33200,,"OCUP.VIA MERCADO,",64340.84,0.0,64340.84,263.25,0.0,263.25,16078.12,16341.37,0.0,9129.3,0.0,9129.3,48262.72,6948.82,24.9889805604,56.7808922934
5093.0,2020.0,,,,33201,,TASA QUIOSCOS Y PUESTOS,17711.82,0.0,17711.82,0.0,0.0,0.0,3047.67,3047.67,0.0,1802.09,0.0,1802.09,14664.15,1245.58,17.2069838108,59.1300895438
5104.0,2020.0,,,,33203,,PLAZA ABASTOS,12640.13,0.0,12640.13,0.0,0.0,0.0,7473.0,7473.0,0.0,1908.0,0.0,1908.0,5167.13,5565.0,59.1212273924,25.5319148936
5156.0,2020.0,,,,33209,,OCUP.SUELO VUELO FRACCIONAMIENTOS,1006.17,0.0,1006.17,0.0,0.0,0.0,483.46,483.46,0.0,24.95,0.0,24.95,522.71,458.51,48.0495343729,5.16071650188
