#IDCONCEPTO,ANYPPTO,INDESREM,CODORGANIC,CODFUNCION,CODECOCONC,CLAVEESPEC,NOMCONCEPT,Inicial,Modifica,Actual,DRAnul,DRCanc,DROtrasAnul,DRNeto,DR,OI,I,DevI,INeto,Saldo,Deudores,% DR s/ Prev,% I Neto s/ DR
5081,2020,,,,11200,,I.B.I RUSTICA,1400044.37,0,1400044.37,47013.32,0,47013.32,1494331.83,1541345.15,0,1288859.04,2462.19,1286396.85,-94287.46,207934.98,106.734605133,86.0850866036
5146,2020,,,,11209,,IBI RUSTICA FRACCIONAMIENTOS,8227.13,0,8227.13,1757.99,0,1757.99,11170.03,12928.02,0,7090.07,0,7090.07,-2942.9,4079.96,135.770675801,63.4740461753
5073,2020,,,,11300,,IBI URBANO,6815752.29,0,6815752.29,429759.94,0,429759.94,6998004.28,7427764.22,0,6464124.33,165898.69,6298225.64,-182251.99,699778.64,102.673982009,90.0003113459
5147,2020,,,,11309,,IBI URBANA FRACCIONAMIENTOS,112909.14,0,112909.14,12842.96,0,12842.96,36883.08,49726.04,0,17366.47,0,17366.47,76026.06,19516.61,32.6661597104,47.0851946204
5074,2020,,,,11400,,I.B.I. DE CARACTERISTICAS ESPECIALES,25421.37,0,25421.37,437.73,0,437.73,28351.77,28789.5,0,24784.48,0,24784.48,-2930.4,3567.29,111.527309504,87.4177520486
5083,2020,,,,11500,,IMPUESTO SOBRE VEHICULOS TRACCION MECANICA,1020314.8,0,1020314.8,30008.17,0,30008.17,1140184.65,1170192.82,0,995594.01,16570.87,979023.14,-119869.85,161161.51,111.748320224,85.8653148856
5149,2020,,,,11509,,IVTM FRACCIONAMIENTOS,5039.11,0,5039.11,1764.43,0,1764.43,7635.95,9400.38,0,3099.16,0,3099.16,-2596.84,4536.79,151.533703372,40.5864365272
5084,2020,,,,11600,,IMPUESTO INCREMENTO VALOR TERRENOS NATURALEZA URBA,496699.47,0,496699.47,171402.52,0,171402.52,683237.37,854639.89,0,469070.66,79887.71,389182.95,-186537.9,294054.42,137.555486017,56.9616017929
5150,2020,,,,11609,,IIVTNU FRACCIONAMIENTOS,11209.4,0,11209.4,2340.79,0,2340.79,2848.29,5189.08,0,651.16,0,651.16,8361.11,2197.13,25.4098346031,22.8614361599
5075,2020,,,,13000,,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,665626.3,0,665626.3,23503.12,0,23503.12,772387.03,795890.15,0,715047.09,3013.09,712034.0,-106760.73,60353.03,116.039139379,92.1861673415
5151,2020,,,,13009,,IAE FRACCIONAMIENTOS,798.21,0,798.21,0,0,0,2449.24,2449.24,0,2382.66,0,2382.66,-1651.03,66.58,306.841557986,97.2816057226
5085,2020,,,,29000,,I.C.I.O,1043518.09,0,1043518.09,292452622.15,0,292452622.15,915220.06,293367842.21,0,750382.89,0,750382.89,128298.03,164837.17,87.7052414108,81.989340356
5152,2020,,,,29009,,ICIO FRACCIONAMIENTOS,325.8,0,325.8,0,0,0,0,0,0,0,0,0,325.8,0,0,0
5087,2020,,,,30200,,RECOGIDA BASURAS,799945.12,0,799945.12,12388.01,0,12388.01,819664.07,832052.08,0,731917.62,3824.8,728092.82,-19718.95,91571.25,102.465037852,88.8281976298
5575,2020,,,,30201,,TASAS POR SERVICIOS ESPECIALES,0,0,0,0,0,0,79.2,79.2,0,79.2,0,79.2,-79.2,0,0,100
5153,2020,,,,30209,,RESIDUOS FRACCIONAMIENTOS,6061.9,0,6061.9,3261.91,0,3261.91,11271.7,14533.61,0,3971.62,0,3971.62,-5209.8,7300.08,185.943351095,35.2353238642
5082,2020,,,,32100,,LIC. UBANISTICAS,121374.16,0,121374.16,2533,0,2533,116097.86,118630.86,0,84895.91,2415,82480.91,5276.3,33616.95,95.6528638386,71.0442983187
5154,2020,,,,32109,,TASA LIC.OBRAS FRACCIONAMIENTOS,481.52,0,481.52,50,0,50,50,100,0,0,0,0,431.52,50,10.3837846818,0
5088,2020,,,,32300,,OTROS SERVICIOS URB. LICENCIAS DE ACTIVIDAD,10947.22,0,10947.22,0,0,0,9289.75,9289.75,0,8593.2,0,8593.2,1657.47,696.55,84.8594437675,92.5019510751
5155,2020,,,,32309,,LIC.APERTURA FRACCIONAMIENTOS,70.96,0,70.96,135.1,0,135.1,162.49,297.59,0,27.39,0,27.39,-91.53,135.1,228.988162345,16.8564219337
5089,2020,,,,32500,,TASA EXPEDICION DOCUMENTOS,42635.21,0,42635.21,466.56,0,466.56,29650.16,30116.72,0,28210.82,169.56,28041.26,12985.05,1608.9,69.5438347788,94.5737223678
5185,2020,,,,32509,,EXPED.DOC. FVA,27,0,27,6,0,6,44.43,50.43,0,0,0,0,-17.43,44.43,164.555555556,0
5090,2020,,,,32600,,TASA RETIRADA VEHICULOS,28757.73,0,28757.73,291.65,0,291.65,18869.45,19161.1,0,18630.5,0,18630.5,9888.28,238.95,65.6152276275,98.733667383
5580,2020,,,,32609,,RETIRADA VEHICULOS FRACCIONAMIENTOS,0,0,0,0,0,0,58,58,0,0,0,0,-58,58,0,0
5091,2020,,,,33100,,VADO VEHICULOS,74250.65,0,74250.65,600.18,0,600.18,76948.81,77548.99,0,73026.58,0,73026.58,-2698.16,3922.23,103.63385371,94.9028061643
5158,2020,,,,33109,,VADOS FVA,80.23,0,80.23,250.43,0,250.43,466.28,716.71,0,59.47,0,59.47,-386.05,406.81,581.179110059,12.7541391439
5092,2020,,,,33200,,"OCUP.VIA MERCADO,",64340.84,0,64340.84,6913.91,0,6913.91,41026.36,47940.27,0,23203.52,0,23203.52,23314.48,17822.84,63.7641037947,56.5575888283
5093,2020,,,,33201,,TASA QUIOSCOS Y PUESTOS,17711.82,0,17711.82,1222.42,0,1222.42,3486.01,4708.43,0,3280.57,0,3280.57,14225.81,205.44,19.6818282932,94.1067294701
5104,2020,,,,33203,,PLAZA ABASTOS,12640.13,0,12640.13,143.1,0,143.1,15029.04,15172.14,0,9686.64,0,9686.64,-2388.91,5342.4,118.899410054,64.4528193418
5156,2020,,,,33209,,OCUP.SUELO VUELO FRACCIONAMIENTOS,1006.17,0,1006.17,237.82,0,237.82,1073.15,1310.97,0,24.95,0,24.95,-66.98,1048.2,106.656926762,2.32493127708
5159,2020,,,,33210,,QUIOSCOS Y PUESTOS FVA,0,0,0,0,0,0,90.48,90.48,0,0,0,0,-90.48,90.48,0,0
5551,2020,,,,33219,,QUIOSCOS Y PUESTOS FVA,448.97,0,448.97,0,0,0,0,0,0,0,0,0,448.97,0,0,0
5094,2020,,,,33301,,EMPRESA DISTRIBUIDORA SERVICIOS(IBERDR. Y GAS),489784.59,0,489784.59,0,0,0,433916.61,433916.61,0,390302.03,0,390302.03,55867.98,43614.58,88.5933569286,89.948626304
5095,2020,,,,33400,,TASA APERTURA ZANJAS Y ESCOMBROS,1295.62,0,1295.62,0,0,0,6390.9,6390.9,0,6390.9,0,6390.9,-5095.28,2.41584530158e-13,493.269631528,100.0
5096,2020,,,,33500,,MESAS Y SILLAS,14027.07,0,14027.07,1936.43,0,1936.43,14198.88,16135.31,0,7931.56,0,7931.56,-171.81,6267.32,101.224845959,55.8604622336
5162,2020,,,,33509,,MESAS SILLAS FVA,819.09,0,819.09,678.68,0,678.68,112.47,791.15,0,0,0,0,706.62,112.47,13.7310918214,0
5114,2020,,,,33600,,PUESTOS DE LA FERIA Y OTROS,13627.2,0,13627.2,0,0,0,240,240,0,240,0,240,13387.2,-7.1054273576e-15,1.76118351532,100
5097,2020,,,,33800,,COMPENSACION TELEFONICA ESPA—A S.A.,50864.16,0,50864.16,0,0,0,26368.08,26368.08,0,26368.08,0,26368.08,24496.08,0,51.8401955326,100
