#IDCONCEPTO,ANYPPTO,INDESREM,CODORGANIC,CODFUNCION,CODECOCONC,CLAVEESPEC,NOMCONCEPT,Inicial,Modifica,Actual,DRAnul,DRCanc,DROtrasAnul,DRNeto,DR,OI,I,DevI,Ineto,Saldo,Deudores,% DR s/ Prev,% I Neto s/ DR
2520.0,2012.0,,,,11200,,I.B.I RUSTICA,740000.0,0.0,740000.0,16056.82,0.0,16056.82,870237.03,886293.85,0.0,756429.61,16056.82,740372.79,-130237.03,129864.24,117.599598649,85.0771415691
2521.0,2012.0,,,,11300,,IBI URBANO,5471472.88,0.0,5471472.88,300466.77,0.0,300466.77,5403618.06,5704084.83,0.0,4897865.55,300466.77,4597398.78,67854.82,806219.28,98.75984362,85.0800098925
2522.0,2012.0,,,,11400,,I.B.I. DE CARACTERISTICAS ESPECIALES,24000.0,0.0,24000.0,0.0,0.0,0.0,23946.09,23946.09,0.0,17939.24,0.0,17939.24,53.91,6006.85,99.775375,74.9151114023
2523.0,2012.0,,,,11500,,IMPUESTO SOBRE VEHICULOS TRACCION MECANICA,850000.0,0.0,850000.0,4792.66,0.0,4792.66,840396.72,845189.38,0.0,725623.35,4792.66,720830.69,9603.28,119566.03,98.8702023529,85.7726681751
2524.0,2012.0,,,,11600,,IMPUESTO INCREMENTO VALOR TERRENOS NATURALEZA URBA,807000.0,0.0,807000.0,9825.6,0.0,9825.6,578252.49,588078.09,0.0,368111.09,9825.6,358285.49,228747.51,219967.0,71.6545836431,61.9600427488
2525.0,2012.0,,,,13000,,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,325000.0,0.0,325000.0,5970.77,0.0,5970.77,306025.26,311996.03,0.0,298469.84,5970.77,292499.07,18974.74,13526.19,94.1616184615,95.5800413338
2526.0,2012.0,,,,29000,,I.C.I.O,600000.0,0.0,600000.0,304226.94,0.0,304226.94,-8324.63,295902.31,0.0,290622.85,304226.94,-13604.09,608324.63,5279.46,-1.38743833333,163.419755593
2527.0,2012.0,,,,30000,,ABASTECIMIENTO AGUA,2610000.0,0.0,2610000.0,0.0,0.0,0.0,2448332.38,2448332.38,0.0,1772926.43,0.0,1772926.43,161667.62,675405.95,93.8058383142,72.4136332339
2528.0,2012.0,,,,30200,,RECOGIDA BASURAS,650000.0,0.0,650000.0,7000.88,0.0,7000.88,574757.47,581758.35,0.0,346851.24,7000.88,339850.36,75242.53,234907.11,88.4242261538,59.1293506807
2529.0,2012.0,,,,32100,,LIC. UBANISTICAS,65000.0,0.0,65000.0,75.0,0.0,75.0,70910.64,70985.64,0.0,47655.02,75.0,47580.02,-5910.64,23330.62,109.093292308,67.0985623596
