#IDPARTIDA,ANYPPTO,INDESREM,CODORGANIC,CODFUNCION,CODECOPART,CLAVEESPEC,NOMPARTIDA,Inicial,Actual,A,D,O,P,RP,Saldo,Porciento,Modif,RemIncorp,OtrasModif,RC,Remanente,Apendiente,Dpendiente,Opendiente,Ppendiente,Reintegros,RetC,% D s/ Cred,% O s/ Cred,% RP s/ O
,2012.0,,,011,31000,,INTERESES PRESTAMOS,25000.0,25000.0,,,18833.92,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,011,31900,,OTROS GASTOS FINANCIEROS,3000.0,3000.0,,,853.37,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,011,91300,,AMORTIZACION DE PRESTAMOS A LARGO PLAZO,26818.18,26818.18,,,26818.18,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,130,12000,,RETRIBUCIONES BASICAS POLICIA,496559.68,496559.68,,,469862.06,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,130,12100,,COMPLEMENTO DESTINO POLICIA,310598.68,261757.03,,,224226.84,,,,,-48841.65,,,,,,,,,,,,,
,2012.0,,,130,12101,,COMPLEMENTO ESPECIFICO POLICIA,385843.92,385843.92,,,269269.82,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,130,15000,,"PRODUCTIVIDAD NOCHES, FESTIVOS Y PROXIM. POLICIA",98732.15,98732.15,,,146646.39,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,130,15200,,HORAS EXTRAS POLICIA,12000.0,12000.0,,,0.0,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,130,21006,,ORDENACION TRAFICO Y SEMAFOROS,15000.0,15000.0,,,25623.51,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,130,21300,,MTO. MAQUINARIA Y UTILLAJE POLICIA,6000.0,6000.0,,,8296.25,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,130,21400,,MTO. VEHICULOS POLICIA,12000.0,12000.0,,,20300.97,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,130,21900,,"SEÑALIZACION,  MARCAS VIALES Y BANDAS SONORAS",16500.0,16500.0,,,25988.33,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,130,21901,,REPINTADO DE MARCAS VIALES,20000.0,20000.0,,,1238.78,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,130,22000,,MATERIAL OFICINA POLICIA,1000.0,1000.0,,,489.06,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,130,22103,,COMBUSTIBLE VEHICULOS POLICIA,15000.0,15000.0,,,14490.25,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,130,22104,,VESTUARIO POLICIA,15000.0,15000.0,,,5948.52,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,130,22109,,MATERIAL TECNICO POLICIA,8000.0,4216.92,,,914.27,,,,,-3783.08,,,,,,,,,,,,,
,2012.0,,,130,22601,,ATENCIONES PROTOCOLARIAS POLICIA LOCAL,0.0,0.0,,,51.67,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,130,22602,,PUBLICIDAD Y PROPAGANDA POLICIA,0.0,0.0,,,193.79,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,130,22606,,PARQUE INFANTIL DE TRAFICO,10000.0,11475.0,,,9724.22,,,,,1475.0,,,,,,,,,,,,,
,2012.0,,,130,22704,,RETIRADA DE VEHICULOS DE LA VIA PUBLICA,47500.0,47500.0,,,27624.28,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,130,60960,,PLAN MOVILIDAD URBANA (I.R.),0.0,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,130,62160,,OBRAS PLAN MEJORA SEGURIDAD VIAL (I.R.),0.0,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,130,62260,,CUARTEL POLICIA Y PROTECCION CIVIL (I.R.),0.0,60913.84,,,0.0,,,,,60913.84,,,,,,,,,,,,,
,2012.0,,,130,62300,,MATERIAL TECNICO Y ESPECIAL POLICIA LOCAL,0.0,3783.08,,,3025.0,,,,,3783.08,,,,,,,,,,,,,
,2012.0,,,130,62390,,MATERIAL TECNICO POLICIA (R.E),1058.72,1058.72,,,1058.72,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,130,62400,,VEHICULO POLICIA LOCAL,0.0,16001.88,,,16000.0,,,,,16001.88,,,,,,,,,,,,,
,2012.0,,,134,21400,,MTO. VEHICULOS PROT.CIVIL,4000.0,4000.0,,,893.86,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,134,22103,,COMBUSTIBLE VEHICULOS PROT.CIVIL,2500.0,2500.0,,,1064.37,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,134,22104,,VESTUARIO PROT.CIVIL,2000.0,2000.0,,,1528.44,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,134,22111,,MATERIAL TECNICO PROT.CIVIL,1200.0,1200.0,,,229.19,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,134,22601,,ATENCIONES PROTOCOLARIAS PROT. CIVIL,0.0,0.0,,,2649.54,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,134,22699,,GASTOS DIVERSOS PROTECC. CIVIL,1100.0,1100.0,,,49.85,,,,,0.0,,,,,,,,,,,,,
,2012.0,,,134,22706,,PLANES DE ACTUACION Y CAMPAÑAS FORMACION P.C,4800.0,4800.0,,,0.0,,,,,0.0,,,,,,,,,,,,,
