#a,b,c,d,e,Código de Concepto,g,Descripción,Inicial,Modific.,Actual,l,m,n,o,p,q,r,s,DR Netos
,,,,,11200,,I.B.I RUSTICA,1499000,0,1499000,,,,,,,,,1573594.75
,,,,,11209,,IBI RUSTICA FRACCIONAMIENTOS,9046.81,0,9046.81,,,,,,,,,5995.18
,,,,,11300,,IBI URBANO,6995000,0,6995000,,,,,,,,,7647135.05
,,,,,11309,,IBI URBANA FRACCIONAMIENTOS,28539.86,0,28539.86,,,,,,,,,11913.65
,,,,,11400,,I.B.I. DE CARACTERISTICAS ESPECIALES,27542.24,0,27542.24,,,,,,,,,28309.96
,,,,,11500,,IMPUESTO SOBRE VEHICULOS TRACCION MECANICA,1145000,0,1145000,,,,,,,,,1221588.17
,,,,,11509,,IVTM FRACCIONAMIENTOS,5450.91,0,5450.91,,,,,,,,,4687.11
,,,,,11600,,IMPUESTO INCREMENTO VALOR TERRENOS NATURALEZA URBA,327000,0,327000,,,,,,,,,-133255.31
,,,,,11609,,IIVTNU FRACCIONAMIENTOS,651.16,0,651.16,,,,,,,,,21765.52
,,,,,13000,,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,899000,0,899000,,,,,,,,,924637.59
,,,,,13009,,IAE FRACCIONAMIENTOS,2859.2,0,2859.2,,,,,,,,,0
,,,,,29000,,I.C.I.O,1118431.72,0,1118431.72,,,,,,,,,768695.29
,,,,,29009,,ICIO FRACCIONAMIENTOS,0,0,0,,,,,,,,,324.83
,,,,,30200,,RECOGIDA BASURAS,880358.56,0,880358.56,,,,,,,,,804765.38
,,,,,30209,,RESIDUOS FRACCIONAMIENTOS,5959.91,0,5959.91,,,,,,,,,3058.07
,,,,,32100,,LIC. UBANISTICAS,155084.25,0,155084.25,,,,,,,,,95469.21
,,,,,32109,,TASA LIC.OBRAS FRACCIONAMIENTOS,0,0,0,,,,,,,,,147.5
,,,,,32300,,OTROS SERVICIOS URB. LICENCIAS DE ACTIVIDAD,9347.77,0,9347.77,,,,,,,,,5242.85
,,,,,32500,,TASA EXPEDICION DOCUMENTOS,42635.21,0,42635.21,,,,,,,,,29609.4
,,,,,32509,,EXPED.DOC. FVA,0,0,0,,,,,,,,,300
,,,,,32600,,TASA RETIRADA VEHICULOS,28757.73,0,28757.73,,,,,,,,,14574.69
,,,,,33100,,VADO VEHICULOS,83512.47,0,83512.47,,,,,,,,,80149.43
,,,,,33109,,VADOS FVA,0,0,0,,,,,,,,,149.12
,,,,,33200,,"OCUP.VIA MERCADO,",64340.84,0,64340.84,,,,,,,,,46330.01
,,,,,33201,,TASA QUIOSCOS Y PUESTOS,0,0,0,,,,,,,,,3470.47
,,,,,33203,,PLAZA ABASTOS,15523.14,0,15523.14,,,,,,,,,12846.77
,,,,,33301,,EMPRESA DISTRIBUIDORA SERVICIOS(IBERDR. Y GAS),379000,0,379000,,,,,,,,,156945.39
,,,,,33400,,TASA APERTURA ZANJAS Y ESCOMBROS,26000,0,26000,,,,,,,,,17260.9
