#a,b,c,d,COFUNCION,CODECOPART,g,Descripción,Inicial,j,Modificación,Actual,O
,,,,130,12000,,RETRIBUCIONES BASICAS POLICIA A1,16392.9,,0,16392.9,17619.21
,,,,130,12001,,RETRIBUCIONES BASICAS POLICIA-A2,14415.02,,0,14415.02,0
,,,,130,12002,,RETRIBUCIONES BASICAS POLICIA B,91638.32,,-35000,56638.32000000001,40132.09
,,,,130,12003,,RETRIBUCIONES BASICAS POLICIA-C1,448947.04,,0,448947.04,503943.06
,,,,130,12100,,COMPLEMENTO DESTINO POLICIA,345685.06,,-80000,265685.06,252769.65
,,,,130,12101,,COMPLEMENTO ESPECIFICO POLICIA,650006,,-164600,485406,430244.32
,,,,130,15000,,PRODUCTIVIDAD FUNCIONARIOS POLICIA,53765.11,,0,53765.11,47408
,,,,130,15002,,SERVICIOS DE REFUERZO POLICIA LOCAL,75240,,0,75240,97702
,,,,130,15100,,GRATIFICACIONES POLICIA LOCAL,40000,,0,40000,81608.65
,,,,130,15101,,ASISTENCIAS A JUICIOS,5000,,0,5000,8511.84
,,,,130,16000,,SEGURIDAD SOCIAL FUNCIONARIOS POLICIA,570517.79,,0,570517.79,521709.84
,,,,130,21200,,MANTENIMIENTO EDIFICIO POLICIA,0,,994.62,994.62,1721.05
,,,,130,21300,,MANTENIMIENTO CENTRALITA POLICIA Y OTRA MAQUINARIA,4360,,7250,11610,2680.15
,,,,130,21400,,MTO. VEHICULOS POLICIA,22000,,-3791.13,18208.87,28378.33
,,,,130,22000,,MATERIAL OFICINA POLICIA,750,,30.09,780.09,331.38
,,,,130,22100,,ENERGIA ELECTRICA EDIFICIOS POLICIA Y PROT.CIVIL,14300,,20000,34300,28759.19
,,,,130,22103,,COMBUSTIBLE VEHICULOS POLICIA LOCAL,14510.56,,12750,27260.559999999998,23884.15
,,,,130,22104,,VESTUARIO POLICIA,12000,,-3569.5,8430.5,2273.14
,,,,130,22111,,MATERIAL TECNICO Y OTROS POLICIA LOCAL,14000,,0,14000,19102.37
,,,,130,22500,,TASAS ESTATALES POLICIA LOCAL,0,,0,0,38.92
,,,,130,22601,,ATENCIONES PROTOCOLARIAS POLICIA LOCAL,200,,0,200,0
,,,,130,22606,,FORMACION Y CURSOS POLICIA LOCAL,0,,0,0,0
,,,,130,22699,,GASTOS VARIOS SEGURIDAD VIAL (RADAR),1,,0,1,0
,,,,130,22700,,LIMPIEZA EDIFICIOS POLICIA,34427.11,,2331.88,36758.99,28490.76
,,,,130,22706,,"TEST DROGAS CONDUCCION, LABORATORIO",3750,,0,3750,3726.8
,,,,130,62410,,ADQUISICION 2 VEHICULOS POLICIA,0,,49658.35,49658.35,49658.34
,,,,130,62900,,OTRAS INVERSIONES GRALES. POLICIA LOCAL,9837.25,,13406.75,23244,14394.57
,,,,130,62901,,MEDIOS MATERIALES INVERSIONES POLICIA SUBVENCIONADOS,0,,10767,10767,1216.05
,,,,133,20000,,ARRENDAMIENTO TERRENOS PARA PARKING PUBL.,15000,,10000,25000,19237.77
,,,,133,21200,,MANTENIMIENTO PARKING MUNICIPAL,1000,,0,1000,1616.73
,,,,133,21300,,"ORDENACION DEL TRAFICO, SEÑALIZACION",30000,,25657.76,55657.759999999995,37453.86
,,,,133,21301,,MANTENIMIENTO SEMAFOROS,8500,,0,8500,4.9
,,,,133,21600,,APP DE SANCIONES-MULTAS INTEGRADA,726,,0,726,0
,,,,133,22199,,SUMINISTROS PARKING MUNICIPAL,0,,0,0,843.73
,,,,133,22701,,RETIRADA VEHICULOS DE LA VIA PUBLICA,42350,,6705.21,49055.21,43175.66
