#IDPARTIDA,ANYPPTO,INDESREM,CODORGANIC,CODFUNCION,CODECOPART,CLAVEESPEC,NOMPARTIDA,Inicial,Actual,A,D,O,P,RP,Saldo,Porciento,Modif,RemIncorp,OtrasModif,RC,Remanente,Apendiente,Dpendiente,Opendiente,Ppendiente,Reintegros,RetC,% D s/ Cred,% O s/ Cred,% RP s/ O
,2015.0,,,011,31000,,INTERESES PRESTAMOS,8733.31,9276.69,,,9800.29,,,,,543.38,,,,,,,,,,,,,
,2015.0,,,011,31900,,OTROS GASTOS FINANCIEROS,2000.0,2000.0,,,1471.69,,,,,0.0,,,,,,,,,,,,,
,2015.0,,,011,91100,,AMORTIZACION PRESTAMOS,111430.04,928800.81,,,908485.92,,,,,817370.77,,,,,,,,,,,,,
,2015.0,,,130,12001,,RETRIBUCIONES BASICAS POLICIA-A2,24975.06,24975.06,,,22185.74,,,,,0.0,,,,,,,,,,,,,
,2015.0,,,130,12003,,RETRIBUCIONES BASICAS POLICIA-C1,453524.7,453524.7,,,475929.78,,,,,0.0,,,,,,,,,,,,,
,2015.0,,,130,12004,,RETRIBUCIONES BASICAS POLICIA-C2,19259.76,19259.76,,,22484.09,,,,,0.0,,,,,,,,,,,,,
,2015.0,,,130,12009,,"NOCHES, FESTIVOS Y SEGUR. CIUD.,  EXTR. Y P.E",60000.0,60000.0,,,163778.66,,,,,0.0,,,,,,,,,,,,,
,2015.0,,,130,12100,,COMPLEMENTO DESTINO POLICIA,299892.04,299892.04,,,221799.16,,,,,0.0,,,,,,,,,,,,,
,2015.0,,,130,12101,,COMPLEMENTO ESPECIFICO POLICIA,363085.31,363085.31,,,266655.22,,,,,0.0,,,,,,,,,,,,,
,2015.0,,,130,15000,,PRODUCTIVIDAD FUNCIONARIOS POLICIA,41291.39,41291.39,,,74846.48,,,,,0.0,,,,,,,,,,,,,
,2015.0,,,130,15001,,SERVICIOS R.E.D. POLICIA LOCAL,6150.0,6150.0,,,300.0,,,,,0.0,,,,,,,,,,,,,
,2015.0,,,130,15100,,GRATIFICAC. POLICIA LOCAL,0.0,0.0,,,27719.46,,,,,0.0,,,,,,,,,,,,,
,2015.0,,,130,16000,,SEGURIDAD SOCIAL FUNCIONARIOS POLICIA,354345.8,354345.8,,,353958.17,,,,,0.0,,,,,,,,,,,,,
,2015.0,,,130,20300,,ARREND. FINANCIERO EQUIPO TRANSMISIONES P.LOCAL,13000.0,13000.0,,,1253.22,,,,,0.0,,,,,,,,,,,,,
,2015.0,,,130,21300,,"ORDENACION TRAFICO, SEMAFOROS Y SEÑALIZACION",35000.0,35000.0,,,39083.66,,,,,0.0,,,,,,,,,,,,,
,2015.0,,,130,21400,,MTO. VEHICULOS POLICIA,10000.0,10000.0,,,14563.61,,,,,0.0,,,,,,,,,,,,,
,2015.0,,,130,22000,,MATERIAL OFICINA POLICIA,1000.0,1000.0,,,472.79,,,,,0.0,,,,,,,,,,,,,
,2015.0,,,130,22104,,VESTUARIO POLICIA,5000.0,5000.0,,,10069.03,,,,,0.0,,,,,,,,,,,,,
