#codeconcept,nomconcept,iniciales,modificados,definitivos,reconocidos
11200,I.B.I RUSTICA,924000,0,924000,954017.61
11209,IBI RUSTICA FRACCIONAMIENTOS,0,0,0,10667.58
11300,IBI URBANO,6438000,0,6438000,5802988.76
11309,IBI URBANA FRACCIONAMIENTOS,0,0,0,2010285.85
11400,I.B.I. DE CARACTERISTICAS ESPECIALES,26000,0,26000,25097.94
11500,IMPUESTO SOBRE VEHICULOS TRACCION MECANICA,869000,0,869000,857507.3
11509,IVTM FRACCIONAMIENTOS,0,0,0,12655.75
11600,IMPUESTO INCREMENTO VALOR TERRENOS NATURALEZA URBA,1292000,4459000,5751000,9606968.62
11609,IIVTNU  FRACCIONAMIENTOS,0,0,0,58787.46
13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,301000,0,301000,440881.3
13009,IAE FRACCIONAMIENTOS,0,0,0,596.07
19000,RECARGO PROVINCIAL IAE,0,0,0,102541.18
19009,RECARGO PROVINCIAL IAE FRACCIONAMIENTOS,0,0,0,88.83
29000,I.C.I.O,449000,320000,769000,883895.13
29009,ICIO FRACCIONAMIENTOS,0,0,0,5349.1
30000,ABASTECIMIENTO AGUA,2800000,190928.08,2990928.08,2990928.1
30200,RECOGIDA BASURAS,798000,0,798000,801570.5
30209,RESIDUOS FRACCIONAMIENTOS,0,0,0,9380.05
32100,LIC. UBANISTICAS,60000,0,60000,90147.85
32109,TASA LIC.OBRAS FRACCIONAMIENTOS,0,0,0,1660
32300,OTROS SERVICIOS URB. LICENCIAS DE ACTIVIDAD,17000,0,17000,20823.82
32309,LIC.APERTURA FRACCIONAMIENTOS,0,0,0,385.25
32500,TASA EXPEDICION DOCUMENTOS,26000,0,26000,37484.95
32501,EXP. DOCUMENTOS PLAN.URB.,97000,0,97000,0
32509,EXPED.DOCUMENTOS FRACCIONAMIENTOS,0,0,0,300
32600,TASA RETIRADA VEHICULOS,13000,0,13000,13454.16
32609,DEPOSITO Y RETIRADA VEH FRACCIONAMIENTOS,0,0,0,59.4
33100,VADO VEHICULOS,69000,0,69000,70793.38
33109,VADOS FRACCIONAMIENTOS,0,0,0,542.65
33200,"OCUP.VIA MERCADO,",71000,0,71000,71260.67
33201,TASA QUIOSCOS Y PUESTOS,1000,0,1000,23705.74
33203,PLAZA ABASTOS,18000,0,18000,16520.1
33209,OCUP. SUELO FRACCIONAMIENTOS,0,0,0,1942.21
33210,QUIOSCOS FRACCIONAMIENTOS,0,0,0,28.6
33301,EMPRESA DISTRIBUIDORA SERVICIOS(IBERDR. Y GAS),517000,0,517000,585808.57
33400,TASA APERTURA ZANJAS,27000,0,27000,4878.8
33500,MESAS Y SILLAS,18000,0,18000,10622.37
33509,MESAS SILLAS  FRACCIONAMIENTOS,0,0,0,55.79
33600,PUESTOS,9000,0,9000,0
33601,FERIA,17000,0,17000,0
33800,COMPENSACION TELEFONICA ESPAÑA S.A.,23000,0,23000,19548.3
33900,"TASA PLACA VADOS, ESCOMBROS",1000,0,1000,1872.25
33909,TASA PLACA VADOS  FRACCIONAMIENTOS,0,0,0,31209.79
34000,AYUDA A DOMICILIO,6000,0,6000,4787.2
34100,"CENTRO ESTANCIAS DIURNAS, TELEASISTENCIA",68000,0,68000,59431.24
34109,C.E.DIURNAS FRACCIONAMIENTOS,0,0,0,1037.02
34200,"P.P. ESCUELA INFANTIL, E.MUSICA, EDUCAV PROXIMIDAD",285000,0,285000,278266.37
34201,E.I. LOS SECANOS,15015,0,15015,0
34204,CURSOS MANIPULADOR ALIMENTOS,1000,0,1000,0
34209,"ESC. INFANTIL. E.MUSICA, PROXIM  FRACCIONAMIENTOS",0,0,0,598.59
34300,"PISCINAS, E.DEPORTIVAS,",269000,0,269000,236313.92
34302,P.P. INSTALACIONES MUNIC.Y DEPORTIVAS,13000,0,13000,29334.03
34303,P.P. PARKING MUNICIPAL,46000,0,46000,51397.08
34400,"P.P.CINE, OTROS ESPECTACULOS",14000,0,14000,3051
34401,TAQUILLA TEATRO,5000,0,5000,8249
34402,TALLERES,30000,0,30000,19336.68
34403,"CUOTAS PROG.""UN RATITO MAS""",0,0,0,9136
34409,TALLERES   FRACCIONAMIENTOS,0,0,0,169.86
34701,ENLACES MATRIMONIALES,1000,0,1000,0
34900,HUERTOS ECOLOGICOS,8000,0,8000,5400
35000,COMP.ZONA 17-01,0,0,0,4503
38900,REINTEGROS DE EJERCICIOS CERRADOS,0,0,0,10504.18
39100,MULTAS INFRACCIONES URBANISTICAS,328000,0,328000,123945.5
39109,INFRAC.URB.  FRACCIONAMIENTOS,0,0,0,41171.38
39120,MULTAS CIRCULACION,78000,0,78000,97061.07
39129,MULTAS  FRACCIONAMIENTOS,0,0,0,2461.24
39190,OTRAS MULTAS Y SANCIONES,25000,0,25000,13957.19
39199,SANCION GUBERN Y MEDIOAMB.  FRACCIONAMIENTOS,0,0,0,4578.68
39210,RECARGO EJECUTIVO Y COSTAS,113000,0,113000,220194.14
39211,RECARGO DE APREMIO,0,0,0,55427.1
39300,INTERESES DE DEMORA,161000,119338.82,280338.82,663539.9
39309,INTERESES DEMORA  FRACCIONAMIENTOS,0,0,0,149.21
39700,APROVECHAMIENTOS URBANISTICOS,0,0,0,56054.64
39900,RECURSOS EVENTUALES,1000,0,1000,22340.48
39904,EJECUCIONES SUBSIDIARIAS,1,78114.95,78115.95,16618.47
39909,EJEC.SUBSIDIARIAS FRACCIONAMIENTOS,0,0,0,0
42000,PARTICIPACION TRIBUTOS ESTADO (F.N.C.M.),3755000,0,3755000,3739734.42
42002,MTO JUZGADO,0,0,0,2237
42020,COMPENSACION IAE,215000,0,215000,197731.45
42100,M.O. CONSEJOS COMARCALES 1ª Y 2ª FASE,0,0,0,109315.47
45002,C.ATENCION TEMPRANA Y C. OCUPACIONAL,21060,0,21060,52133.33
45003,MTO CENTRO DIA DISCAPACITADOS,170144,0,170144,174318.43
45004,ATENCION PRIMARIA S.S.P.BASICAS.DEPENDENCIAS.INCLU,187468,0,187468,186958.73
45005,PROGRAMA INCLUSION SOCIAL 2010,0,0,0,-1414.26
45012,CTRO DE DIA MAYORES,195300,0,195300,200806.41
45014,PREVENCION DROGODEPENDENCIAS,0,0,0,6982
45015,SUBVENCION PSICOLOGA PAE,9240,0,9240,9240
45016,VIVERO EMPRESAS MUJERES,45185.71,0,45185.71,0
45050,PROGRAMA MIXTO EMPLEO-FORMAC JARDINERIA.,175419.36,0,175419.36,175419.36
45051,SUVB.CURSO FORM.PROFES.OCUP.AUXILIAR ADMVO,25740,0,25740,-5717.29
45052,CURSOS CENTRO EMPLEO,0,0,0,-7705.69
45054,PLAN SEGURIDAD CIUDADANA UESCARM,300000,0,300000,241877.7
45058,INTERESES CAMPO DE FUTBOL,5623.77,0,5623.77,5623.77
46300,PROYECTOS DE INCICIATIVA LEADER,0,44393.65,44393.65,44393.65
47001,ASIT. TEC. INTEGRACION RECAUDACION CONTABILIDAD,0,9292.8,9292.8,9292.8
47002,COLABORACION EMPRESAS,0,3400,3400,8825
47003,PERSONAL URBASER (SALARIO),45086.41,0,45086.41,54157.66
47004,COLABORACIONES P.I.T.,0,2150,2150,2150
47005,COLABORACION CAIXABANK MOBILIARIO C.A.PSICOSOCIAL,0,4000,4000,4000
52000,INTERESES DE DEPOSITOS,29000,0,29000,13876.29
54000,ALQUILER INSTALACIONES,0,0,0,20094.35
54001,CONCESIONES DEMANIALES,10000,0,10000,1189.6
54009,ALQUILER INSTALACIONES FRACCIONAMIENTOS,0,0,0,888.24
54100,ALQUILER DE SUELO MPAL,0,0,0,13885.41
54900,VIVIENDAS SOCIALES,0,0,0,1024.2
54901,ALOJAMIENTO TEMPORAL,3600,0,3600,0
55000,CONCESIONES ADMINISTRATIVAS,11000,0,11000,1375.56
55001,CONCESIONES ADMVAS CANON URBASER,0,958440.9,958440.9,958440.9
55201,VENTA PUBLICACIONES MEDIO AMBIENTE,2000,0,2000,0
59900,VTA VEHICULOS ALMACEN MPAL,0,0,0,561.98
75002,SUBV.CARM.INSTALACIONES ENERGIA RENOVABLE,30000,0,30000,0
75003,SUBV.REHABILITACIÓN ASEOS MERCADO MPAL,0,19637.83,19637.83,19637.83
75004,CUBIERTA PZA ABASTOS,0,0,0,20000
75005,AMORTIZACION CAMPO CESPED ARTIFICAL,26818.18,0,26818.18,26818.18
75008,LEADER. DESARROLLO RURAL CAMINO LOS MOLINOS,0,0,0,18800
75011,RESTITUC. PASO DE RBLA. CON BADEN CAÑARICO,0,0,0,4855.47
75012,RESTITUC. DE TALUD CON MURO CTRA. N-340,0,0,0,7813.27
75013,RESTITUC. DE TALUD CON ESCOLLERA CTRA. N-340,0,0,0,2779.9
75015,P.O.S. 2015,114751,0,114751,111835.35
78000,CUOTAS COLABORACION (FACHADAS BERRO Y OTRAS),0,0,0,665.06
78001,INGRESOS C. MUJER,0,0,0,6524
78009,CUOTAS COLABORACION FRACCIONAMIENTOS,0,0,0,192
87000,REMANENTE DE TESORERIA PARA GASTOS GENERALES,0,817914.15,817914.15,0
87010,REMAN. TESORERIA PARA GASTOS CON FINANC. AFECT.,0,3677481.53,3677481.53,0
#,,"  21,725,452.43   ","  10,704,092.71   ","  32,429,545.14   ","  34,057,943.48   "
