#IDPARTIDA,AÑO,INDESREM,CODORGANIC,CODFUNCION,CODECOPART,CLAVEESPEC,PARTIDA,Inicial,Actual,A,D,O,P,RP,Saldo,Porciento,Modif,RemIncorp,OtrasModif,RC,Remanente,Apendiente,Dpendiente,Opendiente,Ppendiente,Reintegros,RetC,% D s/ Cred,% O s/ Cred,% RP s/ O
10082.0,2016.0,N,,011,31900,,OTROS GASTOS FINANCIEROS,2000.0,2250.0,2210.96,2210.96,2210.96,2210.96,2210.96,39.04,1.73511111111,250.0,0.0,250.0,0.0,39.04,0.0,0.0,0.0,0.0,0.0,0.0,98.2648888889,98.2648888889,100.0
10173.0,2016.0,N,,130,12001,,RETRIBUCIONES BASICAS POLICIA-A2,30774.55,30774.55,20925.45,20925.45,20925.45,20925.45,20925.45,9849.1,32.0040423012,0.0,0.0,0.0,0.0,9849.1,0.0,0.0,0.0,0.0,0.0,0.0,67.9959576988,67.9959576988,100.0
10174.0,2016.0,N,,130,12003,,RETRIBUCIONES BASICAS POLICIA-C1,458812.59,458812.59,489137.21,489137.21,489137.21,489137.21,489137.21,-30324.62,-6.60936963391,0.0,0.0,0.0,0.0,-30324.62,0.0,0.0,0.0,0.0,0.0,0.0,106.609369634,106.609369634,100.0
10175.0,2016.0,N,,130,12004,,RETRIBUCIONES BASICAS POLICIA-C2,19452.72,19452.72,22926.06,22926.06,22926.06,22926.06,22926.06,-3473.34,-17.8552922162,0.0,0.0,0.0,0.0,-3473.34,0.0,0.0,0.0,0.0,0.0,0.0,117.855292216,117.855292216,100.0
10899.0,2016.0,N,,130,12007,,RECUPERACION RESTO PAGA EXTRA DIC.2012,0.0,0.0,36534.4,36534.4,36534.4,36534.4,36534.4,-36534.4,0.0,0.0,0.0,0.0,0.0,-36534.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10176.0,2016.0,N,,130,12009,,"NOCHES, FESTIVOS Y SEGUR. CIUD.,  EXTR. Y P.E",40000.0,40000.0,132309.08,132309.08,132309.08,132309.08,132309.08,-92309.08,-230.7727,0.0,0.0,0.0,0.0,-92309.08,0.0,0.0,0.0,0.0,0.0,0.0,330.7727,330.7727,100.0
10177.0,2016.0,N,,130,12100,,COMPLEMENTO DESTINO POLICIA,307123.17,307123.17,222392.94,222392.94,222392.94,222392.94,222392.94,84730.23,27.588354861,0.0,0.0,0.0,0.0,84730.23,0.0,0.0,0.0,0.0,0.0,0.0,72.411645139,72.411645139,100.0
10178.0,2016.0,N,,130,12101,,COMPLEMENTO ESPECIFICO POLICIA,536584.68,508892.68,332960.88,332960.88,332960.88,332960.88,332960.88,175931.8,34.5714935416,-27692.0,0.0,-27692.0,0.0,175931.8,0.0,0.0,0.0,0.0,0.0,0.0,65.4285064584,65.4285064584,100.0
10179.0,2016.0,N,,130,15000,,PRODUCTIVIDAD FUNCIONARIOS POLICIA,50079.52,50079.52,43041.74,43041.74,43041.74,43041.74,43041.74,7037.78,14.0532097752,0.0,0.0,0.0,0.0,7037.78,0.0,0.0,0.0,0.0,0.0,0.0,85.9467902248,85.9467902248,100.0
10180.0,2016.0,N,,130,15001,,SERVICIOS R.E.D. POLICIA LOCAL,0.0,0.0,12400.0,12400.0,12400.0,12400.0,12400.0,-12400.0,0.0,0.0,0.0,0.0,0.0,-12400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10763.0,2016.0,N,,130,15100,,GRATIFICACIONES POLICIA LOCAL,29000.0,29000.0,16765.65,16765.65,16765.65,16765.65,16765.65,12234.35,42.1874137931,0.0,0.0,0.0,0.0,12234.35,0.0,0.0,0.0,0.0,0.0,0.0,57.8125862069,57.8125862069,100.0
11113.0,2016.0,N,,130,15101,,ASISTENCIAS A JUICIOS,0.0,0.0,1310.5,1310.5,1310.5,1310.5,1310.5,-1310.5,0.0,0.0,0.0,0.0,0.0,-1310.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10181.0,2016.0,N,,130,16000,,SEGURIDAD SOCIAL FUNCIONARIOS POLICIA,381679.95,381679.95,337566.05,337566.05,337566.05,337566.05,337566.05,44113.9,11.5578248216,0.0,0.0,0.0,0.0,44113.9,0.0,0.0,0.0,0.0,0.0,0.0,88.4421751784,88.4421751784,100.0
