#a,b,c,d,e,Código de Concepto,g,Descripción,Inicial,Modific.,Actual,l,m,n,o,p,q,r,s,DR Netos
,,,,,11200,,I.B.I RUSTICA,1345000.0,0.0,1345000.0,,,,,,,,,1398594.81
,,,,,11209,,IBI RUSTICA FRACCIONAMIENTOS,9046.81,0.0,9046.81,,,,,,,,,7934.26
,,,,,11300,,IBI URBANO,6750000.0,0.0,6750000.0,,,,,,,,,7210426.85
,,,,,11309,,IBI URBANA FRACCIONAMIENTOS,28539.86,0.0,28539.86,,,,,,,,,20568.48
,,,,,11400,,I.B.I. DE CARACTERISTICAS ESPECIALES,27542.24,0.0,27542.24,,,,,,,,,28315.69
,,,,,11500,,IMPUESTO SOBRE VEHICULOS TRACCION MECANICA,1057461.61,0.0,1057461.61,,,,,,,,,1200126.14
,,,,,11509,,IVTM FRACCIONAMIENTOS,5450.91,0.0,5450.91,,,,,,,,,4284.13
,,,,,11600,,IMPUESTO INCREMENTO VALOR TERRENOS NATURALEZA URBA,467314.36,0.0,467314.36,,,,,,,,,314542.03
,,,,,11609,,IIVTNU FRACCIONAMIENTOS,651.16,0.0,651.16,,,,,,,,,4482.51
,,,,,13000,,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,724173.95,0.0,724173.95,,,,,,,,,895995.02
,,,,,13009,,IAE FRACCIONAMIENTOS,2859.2,0.0,2859.2,,,,,,,,,13029.93
,,,,,17100,,RECARGO PROVINCIAL 2014,0.0,0.0,0.0,,,,,,,,,0.0
,,,,,19000,,RECARGO PROVINCIAL 2015,0.0,0.0,0.0,,,,,,,,,0.0
,,,,,29000,,I.C.I.O,1040000.0,0.0,1040000.0,,,,,,,,,908219.66
,,,,,29009,,ICIO FRACCIONAMIENTOS,0.0,0.0,0.0,,,,,,,,,173.8
,,,,,30200,,RECOGIDA BASURAS,880358.56,0.0,880358.56,,,,,,,,,810981.74
,,,,,30209,,RESIDUOS FRACCIONAMIENTOS,5959.91,0.0,5959.91,,,,,,,,,3377.45
,,,,,32100,,LIC. UBANISTICAS,88518.47,0.0,88518.47,,,,,,,,,127308.45
,,,,,32109,,TASA LIC.OBRAS FRACCIONAMIENTOS,0.0,0.0,0.0,,,,,,,,,50.0
,,,,,32300,,OTROS SERVICIOS URB. LICENCIAS DE ACTIVIDAD,9347.77,0.0,9347.77,,,,,,,,,8013.3
,,,,,32500,,TASA EXPEDICION DOCUMENTOS,30708.44,0.0,30708.44,,,,,,,,,40020.45
,,,,,32509,,EXPED.DOC. FVA,0.0,0.0,0.0,,,,,,,,,176.0
,,,,,32600,,TASA RETIRADA VEHICULOS,18671.77,0.0,18671.77,,,,,,,,,21458.86
,,,,,32609,,RETIRADA VEHICULOS FRACCIONAMIENTOS,0.0,0.0,0.0,,,,,,,,,291.65
,,,,,33100,,VADO VEHICULOS,76461.75,0.0,76461.75,,,,,,,,,78869.55
,,,,,33109,,VADOS FVA,0.0,0.0,0.0,,,,,,,,,237.2
,,,,,33200,,"OCUP.VIA MERCADO,",38984.52,0.0,38984.52,,,,,,,,,61686.78
,,,,,33201,,TASA QUIOSCOS Y PUESTOS,0.0,0.0,0.0,,,,,,,,,2887.21
,,,,,33203,,PLAZA ABASTOS,14536.14,0.0,14536.14,,,,,,,,,15963.6
,,,,,33301,,EMPRESA DISTRIBUIDORA SERVICIOS(IBERDR. Y GAS),400000.0,0.0,400000.0,,,,,,,,,357254.19
,,,,,33400,,TASA APERTURA ZANJAS Y ESCOMBROS,6440.3,0.0,6440.3,,,,,,,,,22443.49
,,,,,33500,,MESAS Y SILLAS,0.0,0.0,0.0,,,,,,,,,269.44
,,,,,33509,,MESAS SILLAS FVA,0.0,0.0,0.0,,,,,,,,,2791.41
,,,,,33600,,PUESTOS DE LA FERIA Y OTROS,0.0,0.0,0.0,,,,,,,,,1722.0
,,,,,33800,,COMPENSACION TELEFONICA ESPAÑA S.A.,30000.0,0.0,30000.0,,,,,,,,,26935.01
,,,,,33900,,TASA PLACA VADOS,851.0,0.0,851.0,,,,,,,,,1326.5
,,,,,33901,,Ocupación publicidad electrónica,0.0,0.0,0.0,,,,,,,,,1679.0
,,,,,34000,,AYUDA A DOMICILIO,4700.0,0.0,4700.0,,,,,,,,,1676.0
,,,,,34001,,AYUDA A DOMICILIO PERSONAS DEPEND. (SAA,71309.0,0.0,71309.0,,,,,,,,,51901.31
