#codfun,codecopartida,nompartida,iniciales,modificados,definitivos,obligaciones
011,31000,INTERESES PRESTAMOS,10721.66,0,10721.66,11157.91
011,31900,OTROS GASTOS FINANCIEROS,2000,0,2000,1288.93
011,91300,AMORTIZACION DE PRESTAMOS A LARGO PLAZO,110804.97,0,110804.97,110708.27
130,12000,RETRIBUCIONES BASICAS POLICIA,493175.1,0,493175.1,525856.43
130,12009,OTRAS RETRIBUCIONES BASICAS,0,0,0,0
130,12100,COMPLEMENTO DESTINO POLICIA,299892.04,0,299892.04,223851.11
130,12101,COMPLEMENTO ESPECIFICO POLICIA,363085.31,0,363085.31,271365.07
130,15000,"PRODUCTIVIDAD NOCHES, FESTIVOS Y PROXIM. POLICIA",60000,0,60000,164310.98
130,15001,SERVICIOS R.E.D. POLICIA LOCAL,13500,0,13500,6300
130,15100,HORAS EXTRAS POLICIA LOCAL,0,0,0,9198.26
130,21006,"ORDENACION TRAFICO,  SEMAFOROS Y SEÑALIZACION",33000,0,33000,41444.92
130,21300,MTO. MAQUINARIA Y UTILLAJE POLICIA,5000,0,5000,2982.84
130,21400,MTO. VEHICULOS POLICIA,15000,-2810.51,12189.49,10249.02
130,21499,MANTENIM. VEHICULOS POLICIA LOCAL (R.E.),229.51,0,229.51,229.51
130,22000,MATERIAL OFICINA POLICIA,1000,-907.5,92.5,563.26
130,22104,VESTUARIO POLICIA,24000,0,24000,26535.18
130,22109,MATERIAL TECNICO POLICIA,2000,0,2000,1940.08
130,22601,ATENCIONES PROTOCOLARIAS POLICIA LOCAL,0,0,0,1113.47
130,22606,PARQUE INFANTIL DE TRAFICO,6000,2250,8250,8633.42
130,22704,RETIRADA DE VEHICULOS DE LA VIA PUBLICA,48400,0,48400,24126.33
130,62290,CUARTEL POLICIA LOCAL Y PROTECCION CIVIL (I.R.),0,60985.94,60985.94,0
130,62500,EQUIPAMIENTO POLICIA,1000,907.5,1907.5,907.5
134,21400,MTO. VEHICULOS PROT.CIVIL,4000,0,4000,648.9
134,22104,VESTUARIO PROT.CIVIL,2000,0,2000,2325.43
134,22111,MATERIAL TECNICO PROT.CIVIL,1200,222.64,1422.64,457.16
134,22600,GASTOS DIVERSOS PROTECCION CIVIL,1000,-170,830,4425.67
134,22601,ATENCIONES PROTOCOLARIAS PROTECC. CIVIL,0,0,0,713.79
134,22706,PLANES DE ACTUACION Y CAMPAÑAS FORMACION P.C,2500,-1579.49,920.51,510
134,48000,SORTEO PROTECCION CIVIL,0,170,170,170
134,62300,MATERIAL TECNICO Y ESPECIAL PROTECC. CIVIL,1810,4390,6200,6200
150,12000,RETRIBUCIONES BASICAS URBANISMO,479486.53,-112513.72,366972.81,466505.41
150,12009,OTRAS RETRIBUCIONES BASICAS,0,0,0,0
150,12100,COMPLEMENTO DESTINO URBANISMO,267847.9,0,267847.9,193333.76
150,12101,COMPLEMENTO ESPECIFICO URBANISMO,393293.32,0,393293.32,264402.24
150,13100,RETRIB. PERSONAL LABORAL TEMPORAL URBANISMO,0,0,0,28809.7
150,21200,MTO. Y CONS. ESPACIOS PUBLICOS E INFRAESTRUCTURAS,75000,-28329.06,46670.94,7183.98
150,21201,CUOTA MTO. EDIFICIOS Y OTRAS INSTALACIONES,1000,0,1000,569.82
150,21299,CUOTA MTO. EDIFICIOS E INSTAL.  MPALES. (R.E),577.8,0,577.8,577.8
150,21300,MTO. MAQUINARIA Y APARATOS DE URBANISMO,1500,0,1500,1218.47
150,22101,MATERIAL TECNICO Y ESPECIAL URBANISMO,2000,0,2000,538.38
150,22500,TASA RESERVA DOMINIO PUBL. RADIOELECTRICO (R.E.),0,0,0,28.02
150,22600,GASTOS DIVERSOS URBANISMO,5000,0,5000,254.1
150,22602,PUBLICACIONES URBANISMO,0,0,0,1096.26
150,22604,GASTOS JURIDICOS Y CONTENCIOSOS,0,112513.72,112513.72,136099.76
150,22706,"PROYECTOS, ESTUDIOS Y TRAB. TECNICOS URBANISMO",40000,0,40000,21719.82
150,22707,AGUAS MINEROMEDICINALES,2000,0,2000,0
