#ANYPPTO,CODECOCONC,NOMCONCEPT,Inicial,Modifica,Actual,DRNeto
2014,11200,I.B.I RUSTICA,922000.0,,922000.0,892523.05
2014,11209,IBI RUSTICA FRACCIONAMIENTOS,,,,30129.01
2014,11300,IBI URBANO,5931000.0,,5931000.0,4846191.17
2014,11309,IBI URB. FRACCIONAMIENTOS,,,,1570843.37
2014,11400,I.B.I. DE CARACTERISTICAS ESPECIALES,36000.0,,36000.0,25772.9
2014,11500,IMPUESTO SOBRE VEHICULOS TRACCION MECANICA,868000.0,,868000.0,860252.87
2014,11509,IVTM. FRACCIONAMIENTOS,,,,10991.94
2014,11600,IMPUESTO INCREMENTO VALOR TERRENOS NATURALEZA URBA,1204000.0,,1204000.0,1334720.61
2014,11609,IIVTNU. FRACCIONAMIENTOS,,,,1553885.98
2014,13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,279000.0,,279000.0,430315.72
2014,13009,IAE. FRACCIONAMIENTOS,,,,3821.43
2014,17100,RECARGO PROVINCIAL IAE,,,,111766.58
2014,17109,RECARGO PROV.IAE. FRACCIONAMIENTOS,,,,1592.25
2014,29000,I.C.I.O,929500.0,,929500.0,375636.31
2014,29009,ICIO. FRACCIONAMIENTOS,,,,171471.72
2014,30000,ABASTECIMIENTO AGUA,2800000.0,,2800000.0,2692279.53
2014,30200,RECOGIDA BASURAS,794000.0,,794000.0,787149.8
2014,30209,RESIDUOS. FRACCIONAMIENTOS,,,,13392.09
2014,32100,LIC. UBANISTICAS,77000.0,,77000.0,63106.76
2014,32109,TASA LIC. OBRAS. FRACCIONAMIENTOS,,,,1011.0
2014,32300,OTROS SERVICIOS URB. LICENCIAS DE ACTIVIDAD,18000.0,,18000.0,15249.6
2014,32309,TASA LIC. APERTURA. FRACCIONAMIENTOS,,,,459.3
2014,32500,TASA EXPEDICION DOCUMENTOS,86000.0,,86000.0,36292.85
2014,32501,EXP. DOCUMENTOS PLAN.URB.,105000.0,,105000.0,
2014,32509,EXPED.DOCUMENTOS. FRACCIONAMIENTOS,,,,2825.71
2014,32600,TASA RETIRADA VEHICULOS,10000.0,,10000.0,11365.98
2014,33100,VADO VEHICULOS,72000.0,,72000.0,69741.49
2014,33109,VADOS. FRACCIONAMIENTOS,,,,186.0
2014,33200,"OCUP.VIA MERCADO,",73000.0,,73000.0,78415.31
2014,33201,TASA QUIOSCOS Y PUESTOS,1000.0,,1000.0,14053.18
2014,33202,NO,16000.0,,16000.0,
2014,33203,PLAZA ABASTOS,17000.0,,17000.0,17378.7
2014,33209,OCUP.SUELO VUELO. FRACCIONAMIENTOS,,,,2173.17
2014,33210,KIOSCOS. FRACCIONAMIENTOS,,,,666.69
2014,33301,EMPRESA DISTRIBUIDORA SERVICIOS(IBERDR. Y GAS),436000.0,,436000.0,461640.34
2014,33400,TASA APERTURA ZANJAS,5000.0,,5000.0,20899.65
2014,33500,MESAS Y SILLAS,16000.0,,16000.0,18129.8
2014,33509,MESAS SILLAS. FRACCIONAMIENTOS,,,,928.93
2014,33600,PUESTOS,5000.0,,5000.0,10988.0
2014,33800,COMPENSACION TELEFONICA ESPAÑA S.A.,25000.0,,25000.0,20621.65
2014,33900,"TASA PLACA VADOS, ESCOMBROS",1000.0,,1000.0,3119.39
2014,33909,TASA PLACA VADOS. FRACCIONAMIENTOS,,,,24.37
2014,34000,AYUDA A DOMICILIO,5000.0,,5000.0,17519.11
2014,34100,"CENTRO ESTANCIAS DIURNAS, AYUDA DOMIC.",43000.0,,43000.0,53673.27
2014,34101,NO,15000.0,,15000.0,
2014,34200,"P.P. ESCUELA INFANTIL, E.MUSICA, PROXIMIDAD",260000.0,,260000.0,268565.6
2014,34201,NO,48000.0,,48000.0,
2014,34202,NO,10000.0,,10000.0,
2014,34203,NO,11000.0,,11000.0,
2014,34204,CURSOS MANIPULADOR ALIMENTOS,1000.0,,1000.0,
2014,34209,"ESC.INFANTIL, E.MUSICA, PROXIM.. FRACCIONAMIENTOS",,,,2462.01
2014,34300,"PISCINAS, E.DEPORTIVAS,",199000.0,,199000.0,189921.15
2014,34301,NO,104000.0,,104000.0,
2014,34302,P.P. INSTALACIONES MUNIC.Y DEPORTIVAS,56000.0,,56000.0,77303.14
2014,34303,P.P. PARKING MUNICIPAL,38000.0,,38000.0,41026.22
2014,34304,NO,5000.0,,5000.0,
2014,34400,"P.P.CINE, TEATRO, OTROS ESPECTACULOS, TALLERES",15000.0,6319.0,21319.0,49459.0
2014,34409,TALLERES. FRACCIONAMIENTOS,,,,60.0
2014,34700,NO,10000.0,,10000.0,
2014,34701,ENLACES MATRIMONIALES,2000.0,,2000.0,400.0
2014,34900,HUERTOS ECOLOGICOS,,,,5872.0
2014,35000,CONTRIBUCIONES ESPECIALES P.E. ZONA 17-01 Y 16-01,,,,23203.6
2014,38900,REINTEGROS DE EJERCICIOS CERRADOS,,,,1667.63
2014,39100,MULTAS INFRACCIONES URBANISTICAS,225000.0,,225000.0,219377.72
2014,39109,INFRACCION URB. FRACCIONAMIENTOS,,,,105425.53
2014,39120,MULTAS CIRCULACION,58000.0,,58000.0,56770.25
2014,39190,OTRAS MULTAS Y SANCIONES,26000.0,,26000.0,24811.56
2014,39199,SANCION GUBERN. Y MEDIOAMBIENTAL. FRACCIONAMIENTOS,,,,2078.17
2014,39210,RECARGO EJECUTIVO Y COSTAS,145000.0,,145000.0,23762.1
2014,39211,RECARGO DE APREMIO,,,,88316.34
2014,39300,INTERESES DE DEMORA,143000.0,,143000.0,139472.19
2014,39309,INTERESES DE DEMORA FRACCIONAMIENTOS,,,,171664.06
