#a,b,c,d,e,Código de Concepto,g,Descripción,Inicial,Modific.,Actual,l,m,n,o,p,q,r,s,DR Netos
,,,,,11200,,I.B.I RUSTICA,1550000.0,0.0,1550000.0,,,,,,,,,1676816.58
,,,,,11209,,IBI RUSTICA FRACCIONAMIENTOS,9046.81,0.0,9046.81,,,,,,,,,2763.69
,,,,,11300,,IBI URBANO,7660000.0,0.0,7660000.0,,,,,,,,,7462125.78
,,,,,11309,,IBI URBANA FRACCIONAMIENTOS,28539.86,0.0,28539.86,,,,,,,,,65713.0
,,,,,11400,,I.B.I. DE CARACTERISTICAS ESPECIALES,27542.24,0.0,27542.24,,,,,,,,,28691.06
,,,,,11500,,IMPUESTO SOBRE VEHICULOS TRACCION MECANICA,1199000.0,0.0,1199000.0,,,,,,,,,1233791.01
,,,,,11509,,IVTM FRACCIONAMIENTOS,5450.91,0.0,5450.91,,,,,,,,,6030.03
,,,,,11600,,IMPUESTO INCREMENTO VALOR TERRENOS NATURALEZA URBA,515698.91,0.0,515698.91,,,,,,,,,1511324.54
,,,,,11609,,IIVTNU FRACCIONAMIENTOS,13234.51,0.0,13234.51,,,,,,,,,15723.49
,,,,,13000,,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,940000.0,0.0,940000.0,,,,,,,,,839695.88
,,,,,13009,,IAE FRACCIONAMIENTOS,2859.2,0.0,2859.2,,,,,,,,,9101.37
,,,,,29000,,I.C.I.O,1272999.11,0.0,1272999.11,,,,,,,,,976780.23
,,,,,30200,,RECOGIDA BASURAS,923664.11,0.0,923664.11,,,,,,,,,1049464.13
,,,,,30209,,RESIDUOS FRACCIONAMIENTOS,5959.91,0.0,5959.91,,,,,,,,,3684.45
,,,,,32100,,LIC. UBANISTICAS,155084.25,0.0,155084.25,,,,,,,,,120536.9
,,,,,32300,,OTROS SERVICIOS URB. LICENCIAS DE ACTIVIDAD,9347.77,0.0,9347.77,,,,,,,,,7259.6
,,,,,32500,,TASA EXPEDICION DOCUMENTOS,55000.0,0.0,55000.0,,,,,,,,,61611.01
,,,,,32509,,EXPEDIC.DOC FRACCIONAMIENTOS,0.0,0.0,0.0,,,,,,,,,100.0
,,,,,32600,,TASA RETIRADA VEHICULOS,28757.73,0.0,28757.73,,,,,,,,,11294.53
,,,,,33100,,VADO VEHICULOS,83512.47,0.0,83512.47,,,,,,,,,82580.71
,,,,,33109,,VADOS FVA,0.0,0.0,0.0,,,,,,,,,345.18
,,,,,33200,,"OCUP.VIA MERCADO,",64340.84,0.0,64340.84,,,,,,,,,63877.33
,,,,,33201,,TASA QUIOSCOS Y PUESTOS,6284.7,0.0,6284.7,,,,,,,,,6352.16
,,,,,33203,,PLAZA ABASTOS,15523.14,0.0,15523.14,,,,,,,,,15963.6
,,,,,33301,,EMPRESA DISTRIBUIDORA SERVICIOS(IBERDR. Y GAS),550000.0,0.0,550000.0,,,,,,,,,356248.21
,,,,,33400,,TASA APERTURA ZANJAS Y ESCOMBROS,26000.0,0.0,26000.0,,,,,,,,,4626.75
,,,,,33500,,MESAS Y SILLAS,0.0,0.0,0.0,,,,,,,,,99.34
,,,,,33600,,PUESTOS DE LA FERIA Y OTROS,13370.2,0.0,13370.2,,,,,,,,,14609.18
