#CONCEPTO,AÑO,INDESREM,CODORGANIC,CODFUNCION,CODECOCONC,CLAVEESPEC,NOMCONCEPTO,Inicial,Modifica,Actual,DRAnul,DRCanc,DROtrasAnul,DRNeto,DR,OI,I,DevI,INeto,Saldo,Deudores,% DR s/ Prev,% I Neto s/ DR
3353.0,2017.0,,,,11200,,I.B.I RUSTICA,1019000.0,0.0,1019000.0,35062.98,0.0,35062.98,1087585.3,1122648.28,0.0,1014179.78,3497.9,1010681.88,-68585.3,76903.42,106.730647694,92.9289757778
3422.0,2017.0,,,,11209,,IBI RUSTICA FRACCIONAMIENTOS,0.0,0.0,0.0,3289.43,0.0,3289.43,9626.96,12916.39,0.0,1907.91,0.0,1907.91,-9626.96,7719.05,0.0,19.8184058103
3345.0,2017.0,,,,11300,,IBI URBANO,6067000.0,0.0,6067000.0,180272.89,0.0,180272.89,7762907.26,7943180.15,0.0,5985639.63,14682.64,5970956.99,-1695907.26,1791950.27,127.952979397,76.9165055052
3423.0,2017.0,,,,11309,,IBI URBANA FRACCIONAMIENTOS,0.0,0.0,0.0,232168.18,0.0,232168.18,241731.4,473899.58,0.0,19255.85,0.0,19255.85,-241731.4,222475.55,0.0,7.96580419424
3346.0,2017.0,,,,11400,,I.B.I. DE CARACTERISTICAS ESPECIALES,29000.0,0.0,29000.0,371.89,0.0,371.89,27846.52,28218.41,0.0,21671.58,0.0,21671.58,1153.48,6174.94,96.0224827586,77.8250926866
3355.0,2017.0,,,,11500,,IMPUESTO SOBRE VEHICULOS TRACCION MECANICA,952000.0,0.0,952000.0,17225.54,0.0,17225.54,973156.77,990382.31,0.0,845231.61,4412.69,840818.92,-21156.77,132337.85,102.22234979,86.4011787124
3425.0,2017.0,,,,11509,,IVTM FRACCIONAMIENTOS,0.0,0.0,0.0,3873.49,0.0,3873.49,11121.1,14994.59,0.0,2692.48,0.0,2692.48,-11121.1,8428.62,0.0,24.2105547113
3356.0,2017.0,,,,11600,,IMPUESTO INCREMENTO VALOR TERRENOS NATURALEZA URBA,945000.0,0.0,945000.0,2539359.06,0.0,2539359.06,-1876197.62,663161.44,0.0,397693.77,2510119.13,-2112425.36,2821197.62,236227.74,-198.539430688,112.590770689
3427.0,2017.0,,,,11609,,IIVTNU FRACCIONAMIENTOS,0.0,0.0,0.0,0.0,0.0,0.0,17708.86,17708.86,0.0,1294.83,0.0,1294.83,-17708.86,16414.03,0.0,7.31176371602
3347.0,2017.0,,,,13000,,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,498000.0,0.0,498000.0,34093.47,0.0,34093.47,495270.28,529363.75,0.0,492607.05,29282.66,463324.39,2729.72,31945.89,99.4518634538,93.5498067843
3428.0,2017.0,,,,13009,,IAE FRACCIONAMIENTOS,0.0,0.0,0.0,4521.91,0.0,4521.91,0.0,4521.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3357.0,2017.0,,,,29000,,I.C.I.O,690000.0,0.0,690000.0,2491.68,0.0,2491.68,730385.31,732876.99,0.0,604577.58,369.26,604208.32,-40385.31,126176.99,105.852943478,82.7245991571
3429.0,2017.0,,,,29009,,ICIO FRACCIONAMIENTOS,0.0,0.0,0.0,73.48,0.0,73.48,38282.23,38355.71,0.0,31801.92,0.0,31801.92,-38282.23,6480.31,0.0,83.072276615
3358.0,2017.0,,,,30000,,ABASTECIMIENTO AGUA,2800000.0,805057.5,3605057.5,0.0,0.0,0.0,3605057.5,3605057.5,0.0,3016949.33,0.0,3016949.33,0.0,588108.17,100.0,83.6865800337
