#IDPARTIDA,AÑO,INDESREM,CODORGANIC,CODFUNCION,CODECOPART,CLAVEESPEC,NOMPARTIDA,Inicial,Actual,A,D,O,P,RP,Saldo,Porciento,Modif,RemIncorp,OtrasModif,RC,Remanente,Apendiente,Dpendiente,Opendiente,Ppendiente,Reintegros,RetC,% D s/ Cred,% O s/ Cred,% RP s/ O
11147.0,2017.0,N,,011,31900,,OTROS GASTOS FINANCIEROS,2300.0,2300.0,2299.88,2299.88,2299.88,2299.88,2294.71,0.119999999999,0.00521739130432,0.0,0.0,0.0,0.0,0.119999999998,0.0,0.0,0.0,5.17,15.89,0.0,99.9947826087,99.9947826087,99.7752056629
11211.0,2017.0,N,,130,12001,,RETRIBUCIONES BASICAS POLICIA-A2,28956.88,28956.88,22031.22,22031.22,22031.22,22031.22,22031.22,6925.66,23.9171485326,0.0,0.0,0.0,0.0,6925.66,0.0,0.0,0.0,0.0,0.0,0.0,76.0828514674,76.0828514674,100.0
11212.0,2017.0,N,,130,12003,,RETRIBUCIONES BASICAS POLICIA-C1,467876.39,467876.39,520364.81,520364.81,520364.81,520364.81,520364.81,-52488.42,-11.2184374168,0.0,0.0,0.0,0.0,-52488.42,0.0,0.0,0.0,0.0,0.0,0.0,111.218437417,111.218437417,100.0
11213.0,2017.0,N,,130,12004,,RETRIBUCIONES BASICAS POLICIA-C2,19705.5,19705.5,23154.85,23154.85,23154.85,23154.85,23154.85,-3449.35,-17.5045038187,0.0,0.0,0.0,0.0,-3449.35,0.0,0.0,0.0,0.0,0.0,0.0,117.504503819,117.504503819,100.0
11214.0,2017.0,N,,130,12100,,COMPLEMENTO DESTINO POLICIA,304480.74,304480.74,230401.82,230401.82,230401.82,230401.82,230401.82,74078.92,24.3295914218,0.0,0.0,0.0,0.0,74078.92,0.0,0.0,2.91038304567e-11,0.0,0.0,0.0,75.6704085782,75.6704085782,100.0
11215.0,2017.0,N,,130,12101,,COMPLEMENTO ESPECIFICO POLICIA,563125.61,563125.61,413517.87,413517.87,413517.87,413517.87,413517.87,149607.74,26.5673834298,0.0,0.0,0.0,0.0,149607.74,0.0,0.0,-1.16415321827e-10,0.0,0.0,0.0,73.4326165702,73.4326165702,100.0
11216.0,2017.0,N,,130,15000,,PRODUCTIVIDAD FUNCIONARIOS POLICIA,51782.09,51782.09,47295.53,47295.53,47295.53,47295.53,47295.53,-40946.5,-79.0746375822,0.0,0.0,0.0,45433.06,4486.56,0.0,0.0,0.0,0.0,0.0,45433.06,91.335691549,91.335691549,100.0
11423.0,2017.0,N,,130,15001,,SERVICIOS R.E.D. POLICIA LOCAL,15000.0,15000.0,0.0,0.0,0.0,0.0,0.0,12008.0,80.0533333333,0.0,0.0,0.0,2992.0,15000.0,0.0,0.0,0.0,0.0,0.0,2992.0,0.0,0.0,0.0
11424.0,2017.0,N,,130,15100,,GRATIFICACIONES POLICIA LOCAL,2000.0,2000.0,31606.45,31606.45,31606.45,31606.45,31606.45,-29606.45,-1480.3225,0.0,0.0,0.0,-1.36424205266e-12,-29606.45,0.0,0.0,0.0,0.0,0.0,-1.36424205266e-12,1580.3225,1580.3225,100.0
11425.0,2017.0,N,,130,15101,,ASISTENCIAS A JUICIOS,2000.0,2000.0,4855.47,4855.47,4855.47,4855.47,4855.47,-3092.01,-154.6005,0.0,0.0,0.0,236.54,-2855.47,0.0,0.0,9.09494701773e-13,0.0,0.0,236.54,242.7735,242.7735,100.0
11217.0,2017.0,N,,130,16000,,SEGURIDAD SOCIAL FUNCIONARIOS POLICIA,379263.21,379263.21,363526.47,363526.47,363526.47,363526.47,363526.47,15736.74,4.14929251904,0.0,0.0,0.0,0.0,15736.74,0.0,0.0,0.0,0.0,0.0,0.0,95.850707481,95.850707481,100.0
11426.0,2017.0,N,,130,16200,,FORMACION CONTINUA AGENTES POLICIA LOCAL,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,1384.9,46.1633333333,0.0,0.0,0.0,1615.1,3000.0,0.0,0.0,0.0,0.0,0.0,1615.1,0.0,0.0,0.0
